Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
1,0.3,Normal,Drone 2,Success,1.2455,2102.7719,3.9913,4146.45,40.55,0,99.39
1,0.3,Normal,Drone 3,Success,1.1292,1641.0876,3.6395,3076.64,30.3,0,99.39
1,0.3,Normal,Drone 4,Success,1.6173,2220.4371,3.9006,3588.62,35.2,0,99.39
1,0.3,Early,Drone 0,Success,1.6451,2044.8853,4.0208,3609.95,33.3,0,99.2
1,0.3,Early,Drone 1,Success,1.785,1620.9466,4.014,3564.29,29.3,0,99.2
1,0.3,Early,Drone 2,Success,1.7526,2130.0444,4.0033,3615.95,35.1,0,99.2
1,0.3,Early,Drone 3,Success,1.7038,1578.3125,3.6419,3539.21,25.15,0,99.2
1,0.3,Early,Drone 4,Success,2.374,2327.171,3.9076,3567.89,28.75,0,99.2
7,0.3,Normal,Drone 0,Success,1.1122,2140.7585,4.0059,3778.58,36.95,0,98.81
7,0.3,Normal,Drone 1,Success,1.556,1524.3352,3.6958,2684.17,26.4,0,98.81
7,0.3,Normal,Drone 2,Success,1.481,1843.2994,3.974,3555.07,34.75,0,98.81
7,0.3,Normal,Drone 3,Success,1.1246,1685.6214,4.0043,3197.78,31.2,0,98.81
7,0.3,Normal,Drone 4,Success,1.2382,3095.5673,3.7954,4964.53,48.5,0,98.81
7,0.3,Early,Drone 0,Success,1.9958,2182.2311,4.0172,4149.59,31.5,0,98.66
7,0.3,Early,Drone 1,Success,2.2888,1472.3971,3.6998,4070.97,21.95,0,98.66
7,0.3,Early,Drone 2,Success,1.9698,1944.5343,3.9845,4137.83,29.7,0,98.66
7,0.3,Early,Drone 3,Success,1.7769,1718.7237,4.0152,4126.54,27.15,0,98.66
7,0.3,Early,Drone 4,Success,1.877,3085.0188,3.8064,4217.65,40.85,0,98.66
77,0.3,Normal,Drone 0,Success,1.4614,2190.5077,3.9109,3827.86,37.45,0,99.22
77,0.3,Normal,Drone 1,Success,1.1758,1815.8249,3.9669,3987.74,39.2,0,99.22
77,0.3,Normal,Drone 2,Success,1.5026,1732.8565,3.6813,2890.75,28.35,0,99.22
77,0.3,Normal,Drone 3,Success,1.5111,2139.2354,3.9683,4000.17,39.2,0,99.22
77,0.3,Normal,Drone 4,Success,1.7789,2024.7772,3.9931,3610.57,35.4,0,99.22
77,0.3,Early,Drone 0,Success,2.0639,2184.1015,3.9221,3498.95,31.95,0,99.01
77,0.3,Early,Drone 1,Success,1.7047,1829.165,3.9795,3488.23,34.1,0,99.01
77,0.3,Early,Drone 2,Success,2.2041,1717.6947,3.6843,3434.84,23.35,0,99.01
77,0.3,Early,Drone 3,Success,2.1488,2074.3597,3.9748,3498.19,33.5,0,99.01
77,0.3,Early,Drone 4,Success,2.3503,2007.3793,4.0045,3478.17,30.0,0,99.01
11,0.3,Normal,Drone 0,Success,1.3305,1772.3027,3.9597,3468.09,33.9,0,99.37
11,0.3,Normal,Drone 1,Success,1.3859,1805.2571,3.7047,3067.86,30.1,0,99.37
11,0.3,Normal,Drone 2,Success,1.347,2422.7668,4.0018,4294.68,42.25,0,99.37
11,0.3,Normal,Drone 3,Success,1.1876,1736.5225,4.0047,3549.76,34.75,0,99.37
11,0.3,Normal,Drone 4,Success,1.6828,2040.3264,3.9041,3989.42,39.0,0,99.37
11,0.3,Early,Drone 0,Success,1.89,1825.548,3.9706,3642.45,29.45,0,99.14
11,0.3,Early,Drone 1,Success,1.9326,1802.9471,3.7086,3605.88,25.6,0,99.14
11,0.3,Early,Drone 2,Success,1.9636,2416.3421,4.0118,3661.31,35.75,0,99.14
