Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct, Solve_Time
77,0.3,Normal,Drone 1,Success,1.0699,8758.5223,0.2492,4203.52,41.25,0,99.36,0.014941
77,0.3,Normal,Drone 2,Success,1.6029,6347.21,0.1859,3226.84,31.8,0,99.36,0.014941
77,0.3,Normal,Drone 3,Success,1.3179,5455.6122,0.204,4110.72,40.2,0,99.36,0.014941
77,0.3,Normal,Drone 4,Success,1.6819,8216.3363,0.2017,3861.9,37.9,0,99.36,0.014941
77,0.3,Early,Drone 0,Success,1.8545,9023.1549,0.4209,3854.56,34.7,0,99.1,0.016427
77,0.3,Early,Drone 1,Success,1.6288,8400.1045,0.3863,3860.84,37.75,0,99.1,0.016427
77,0.3,Early,Drone 2,Success,2.2051,7301.8561,0.3342,3787.4,27.9,0,99.1,0.016427
77,0.3,Early,Drone 3,Success,1.9638,5134.407,0.3214,3864.38,34.9,0,99.1,0.016427
77,0.3,Early,Drone 4,Success,2.3383,5862.0872,0.3195,3837.1,32.05,0,99.1,0.016427
11,0.3,Normal,Drone 0,Success,1.125,9852.3982,0.2568,3599.19,35.15,0,99.4,0.015944
11,0.3,Normal,Drone 1,Success,1.3387,3004.0769,0.2294,3088.09,30.3,0,99.4,0.015944
11,0.3,Normal,Drone 2,Success,1.2718,5833.8676,0.2338,4451.17,43.7,0,99.4,0.015944
11,0.3,Normal,Drone 3,Success,1.2224,4225.866,0.2055,3637.88,35.6,0,99.4,0.015944
11,0.3,Normal,Drone 4,Success,1.3929,5845.9579,0.2268,4133.81,40.4,0,99.4,0.015944
11,0.3,Early,Drone 0,Success,1.6958,8939.5728,0.3988,3861.93,32.1,0,99.15,0.016515
11,0.3,Early,Drone 1,Success,2.0377,3312.2414,0.3723,3820.51,26.9,0,99.15,0.016515
11,0.3,Early,Drone 2,Success,1.925,7349.9944,0.3946,3885.61,37.95,0,99.15,0.016515
11,0.3,Early,Drone 3,Success,1.8788,4723.1293,0.297,3859.42,31.8,0,99.15,0.016515
11,0.3,Early,Drone 4,Success,2.0299,5841.1791,0.3784,3888.01,36.25,0,99.15,0.016515
62,0.3,Normal,Drone 0,Success,1.3853,10533.8201,0.1569,3742.49,36.4,0,99.4,0.016199
62,0.3,Normal,Drone 1,Success,1.2608,3291.9148,0.2057,4031.61,39.4,0,99.4,0.016199
62,0.3,Normal,Drone 2,Success,1.2973,3963.6574,0.21,3943.66,38.65,0,99.4,0.016199
62,0.3,Normal,Drone 3,Success,1.0863,7362.3612,0.2977,3082.78,30.05,0,99.4,0.016199
62,0.3,Normal,Drone 4,Success,1.1729,11469.6878,0.2246,4856.62,47.6,0,99.4,0.016199
62,0.3,Early,Drone 0,Success,2.3413,9546.2173,0.3254,4255.25,31.6,0,99.36,0.017775
62,0.3,Early,Drone 1,Success,2.277,3312.1024,0.2816,4260.45,34.8,0,99.36,0.017775
62,0.3,Early,Drone 2,Success,2.0116,3464.4141,0.3396,4238.49,33.4,0,99.36,0.017775
62,0.3,Early,Drone 3,Success,1.5619,7597.3403,0.5004,4217.72,27.35,0,99.36,0.017775
62,0.3,Early,Drone 4,Success,1.7666,11600.7159,0.407,4290.0,41.85,0,99.36,0.017775
76,0.3,Normal,Drone 0,Success,1.4952,6608.2399,0.2349,4356.35,42.9,0,99.36,0.014899
76,0.3,Normal,Drone 1,Success,1.1412,8514.0151,0.2722,3923.05,38.7,0,99.36,0.014899
76,0.3,Normal,Drone 2,Success,1.397,3519.4758,0.216,3210.8,31.45,0,99.36,0.014899
76,0.3,Normal,Drone 3,Success,1.2947,3399.8337,0.1934,3145.13,30.9,0,99.36,0.014899
76,0.3,Normal,Drone 4,Success,1.3723,12248.942,0.2279,4192.0,40.9,0,99.36,0.014899
76,0.3,Early,Drone 0,Success,2.2987,4873.822,0.3369,3837.38,36.5,0,99.26,0.016407
76,0.3,Early,Drone 1,Success,1.6883,7300.6788,0.4607,3821.93,33.85,0,99.26,0.016407
76,0.3,Early,Drone 2,Success,2.2003,3321.7423,0.3046,3803.01,27.85,0,99.26,0.016407
76,0.3,Early,Drone 3,Success,1.9613,4110.6903,0.3186,3790.19,27.25,0,99.26,0.016407
76,0.3,Early,Drone 4,Success,1.6801,10486.125,0.3601,3884.92,37.65,0,99.26,0.016407
48,0.3,Normal,Drone 0,Success,1.1445,8358.0773,0.2443,3621.5,35.45,0,98.82,0.014861
48,0.3,Normal,Drone 1,Success,1.0223,9262.6477,0.27,3750.52,36.6,0,98.82,0.014861
48,0.3,Normal,Drone 2,Success,1.3861,3981.9,0.1674,3960.58,39.1,0,98.82,0.014861
48,0.3,Normal,Drone 3,Success,1.1257,3187.2947,0.2935,3344.93,32.55,0,98.82,0.014861
48,0.3,Normal,Drone 4,Success,1.341,8613.8877,0.2164,4328.04,42.5,0,98.82,0.014861
